trip_id,rider_id,zone,distance_km,duration_min,fare_amount,ride_date,surge_flag,name,age,gender,city,signup_date,total_rides,cancelled_rides,avg_rating,population_density,traffic_index,avg_speed_kmph,zone_type,traffic_level,hour,day_of_week,month,gender_encoded,payment_mode_Credit Card,payment_mode_UPI,payment_mode_Wallet,zone_name_Zone_10,zone_name_Zone_2,zone_name_Zone_3,zone_name_Zone_4,zone_name_Zone_5,zone_name_Zone_6,zone_name_Zone_7,zone_name_Zone_8,zone_name_Zone_9,traffic_level_encoded,ride_frequency,log_fare,log_distance,sqrt_duration,avg_ride_distance,avg_ride_fare,is_peak_hour,days_since_signup,ride_cancellation_rate,surge_feature
T00001,R0037,Zone_10,11.83,74.59,104.88,2023-11-13,0.0,Aadhya Iyer,32.0,Male,Ahmedabad,2023-10-16 00:03:47.581311,8,4,3.36,2440.0,1.54,35.4,Industrial,Low,0,Monday,November,1,False,False,False,True,False,False,False,False,False,False,False,False,0.0,Low,4.662306377358901,2.551786178627545,8.636550237218563,9.76125,162.29,0,940,0.5,0
T00002,R0104,Zone_9,3.86,35.59,40.48,2023-07-28,1.0,Diya Gupta,52.0,Female,Kolkata,2024-10-12 00:03:47.581311,9,2,3.7,11037.0,1.83,56.1,Mixed,Low,0,Friday,July,0,False,False,False,False,False,False,False,False,False,False,False,True,0.0,Low,3.7252113833613265,1.5810384379124023,5.965735495309862,5.187777777777779,85.68555555555555,0,578,0.2222222222222222,0
T00003,R0045,Zone_8,4.7,31.03,46.39,2024-01-14,1.0,Saanvi Iyer,34.0,Male,Ahmedabad,2025-11-24 00:03:47.581311,9,1,4.88,4516.0,1.93,31.0,Business,Low,0,Sunday,January,1,False,False,False,False,False,False,False,False,False,False,True,False,0.0,Low,3.858411235979497,1.7404661748405046,5.570457790882182,9.725555555555555,167.12333333333333,0,170,0.1111111111111111,0
T00004,R0089,Zone_2,11.06,59.48,257.64,2023-12-13,0.0,Saanvi Reddy,48.0,Male,Surat,2024-03-31 00:03:47.581311,9,0,3.91,6371.0,0.91,58.4,Residential,Low,0,Wednesday,December,1,False,False,False,False,True,False,False,False,False,False,False,False,0.0,Low,5.555437133417177,2.4898941912990393,7.712327793863536,9.981111111111112,157.5011111111111,0,773,0.0,1
T00005,R0003,Zone_5,7.28,67.59,72.74,2023-03-15,1.0,Kavya Reddy,34.0,Male,Pune,2024-07-05 00:03:47.581311,10,2,3.76,2590.0,1.31,43.9,Business,Low,0,Wednesday,March,1,False,True,False,False,False,False,False,True,False,False,False,False,0.0,Low,4.300545392805998,2.1138429683971687,8.221313763626833,6.768000000000001,98.425,0,677,0.2,0
T00006,R0255,Zone_2,14.58,80.74,282.52,2024-02-10,1.0,Reyansh Sharma,37.0,Female,Bengaluru,2023-10-26 00:03:47.581311,8,2,3.12,6371.0,0.91,58.4,Residential,Low,0,Saturday,February,0,False,True,False,False,True,False,False,False,False,False,False,False,0.0,Low,5.647282667416716,2.7459880404426023,8.985543945694106,9.0025,152.28125,0,930,0.25,0
T00007,R0224,Zone_4,4.48,40.07,58.38,2023-08-21,1.0,Ishaan Sharma,29.0,Male,Ahmedabad,2025-10-08 00:03:47.581311,7,1,4.31,4038.0,2.46,48.2,Business,Low,0,Monday,August,1,True,False,False,False,False,False,True,False,False,False,False,False,0.0,Low,4.083957469335614,1.7011051009599243,6.330086887239385,5.958571428571429,73.82000000000001,0,217,0.14285714285714285,0
T00008,R0039,Zone_3,11.75,96.11,102.35,2024-03-10,0.0,Aadhya Iyer,24.0,Male,Chennai,2025-12-07 00:03:47.581311,7,4,4.2,12971.0,2.11,38.0,Business,Low,0,Sunday,March,1,False,False,True,False,False,True,False,False,False,False,False,False,0.0,Low,4.638121286127777,2.545531271604435,9.803570778037969,4.837142857142857,75.54285714285713,0,157,0.5714285714285714,0
T00009,R0223,Zone_5,9.71,66.61,175.75,2024-05-20,0.0,Meera Ghosh,30.0,Male,Surat,2025-09-25 00:03:47.581311,8,3,4.04,2590.0,1.31,43.9,Business,Low,0,Monday,May,1,True,False,False,False,False,False,False,True,False,False,False,False,0.0,Low,5.174736304776682,2.3711778844596574,8.161494961096281,7.05,123.40125,0,230,0.375,0
T00010,R0236,Zone_5,7.37,51.09,98.34,2023-03-01,1.0,Arjun Gupta,28.0,Female,Ahmedabad,2025-12-08 00:03:47.581311,11,3,3.36,2590.0,1.31,43.9,Business,Low,0,Wednesday,March,0,False,True,False,False,False,False,False,True,False,False,False,False,0.0,Low,4.598548309679204,2.124653884501384,7.147726911403373,4.546363636363636,69.86727272727272,0,156,0.2727272727272727,0
