trip_id,rider_id,zone,distance_km,duration_min,fare_amount,ride_date,surge_flag,name,age,gender,city,signup_date,total_rides,cancelled_rides,avg_rating,population_density,traffic_index,avg_speed_kmph,zone_type,traffic_level,hour,day_of_week,month,gender_encoded,payment_mode_Credit Card,payment_mode_UPI,payment_mode_Wallet,zone_name_Zone_10,zone_name_Zone_2,zone_name_Zone_3,zone_name_Zone_4,zone_name_Zone_5,zone_name_Zone_6,zone_name_Zone_7,zone_name_Zone_8,zone_name_Zone_9,traffic_level_encoded,ride_frequency,log_fare,log_distance,sqrt_duration,avg_ride_distance,avg_ride_fare,is_peak_hour,days_since_signup,ride_cancellation_rate,surge_feature
T00001,R0037,Zone_10,0.8726004754791625,0.41503907389977185,-0.32982197212745307,2023-11-13,0.0,Aadhya Iyer,32.0,Male,Ahmedabad,2023-10-16 00:03:47.581311,0.16831122664114473,1.3809839546849962,3.36,2440.0,1.54,35.4,Industrial,Low,0,Monday,November,1,False,False,False,True,False,False,False,False,False,False,False,False,0.0,Low,4.662306377358901,2.551786178627545,8.636550237218563,0.9838757986626461,1.0679200880966029,0,1.5104710415185625,0.6893753966844082,0
T00002,R0104,Zone_9,-0.9877554341656454,-0.7290723495424977,-1.1759535838457937,2023-07-28,1.0,Diya Gupta,52.0,Female,Kolkata,2024-10-12 00:03:47.581311,0.5590549577479722,-0.026056301031792503,3.7,11037.0,1.83,56.1,Mixed,Low,0,Friday,July,0,False,False,False,False,False,False,False,False,False,False,False,True,0.0,Low,3.7252113833613265,1.5810384379124023,5.965735495309862,-1.7112490162600968,-1.464277387544063,0,0.21861849776883668,-0.3042589321795199,0
T00003,R0045,Zone_8,-0.7916827912419766,-0.8628453775142092,-1.0983039281741258,2024-01-14,1.0,Saanvi Iyer,34.0,Male,Ahmedabad,2025-11-24 00:03:47.581311,0.5590549577479722,-0.7295764288901869,4.88,4516.0,1.93,31.0,Business,Low,0,Sunday,January,1,False,False,False,False,False,False,False,False,False,False,True,False,0.0,Low,3.858411235979497,1.7404661748405046,5.570457790882182,0.9628412371079327,1.2276882915521163,0,-1.2373921040264342,-0.701712663725091,0
T00004,R0089,Zone_2,0.6928672194657998,-0.028230762208246083,1.6772442546752437,2023-12-13,0.0,Saanvi Reddy,48.0,Male,Surat,2024-03-31 00:03:47.581311,0.5590549577479722,-1.4330965567485814,3.91,6371.0,0.91,58.4,Residential,Low,0,Wednesday,December,1,False,False,False,False,True,False,False,False,False,False,False,False,0.0,Low,5.555437133417177,2.4898941912990393,7.712327793863536,1.1134388762545167,0.9096210175464279,0,0.9145059177445176,-1.0991663952706623,1
T00005,R0003,Zone_5,-0.18945967369070885,0.20968574148705682,-0.752099456609246,2023-03-15,1.0,Kavya Reddy,34.0,Male,Pune,2024-07-05 00:03:47.581311,0.9497986888547996,-0.026056301031792503,3.76,2590.0,1.31,43.9,Business,Low,0,Wednesday,March,1,False,True,False,False,False,False,False,True,False,False,False,False,0.0,Low,4.300545392805998,2.1138429683971687,8.221313763626833,-0.7800317884589186,-1.043168804390227,0,0.5719151879103362,-0.383749678488634,0
T00006,R0255,Zone_2,1.5145049612411727,0.5954566445195141,2.004134852494379,2024-02-10,1.0,Reyansh Sharma,37.0,Female,Bengaluru,2023-10-26 00:03:47.581311,0.16831122664114473,-0.026056301031792503,3.12,6371.0,0.91,58.4,Residential,Low,0,Saturday,February,0,False,True,False,False,True,False,False,False,False,False,False,False,0.0,Low,5.647282667416716,2.7459880404426023,8.985543945694106,0.5367481341747186,0.7370759488548032,0,1.4747845071608352,-0.204895499293127,0
T00007,R0224,Zone_4,-0.8430351501029374,-0.5976462167983602,-0.9407710395948884,2023-08-21,1.0,Ishaan Sharma,29.0,Male,Ahmedabad,2025-10-08 00:03:47.581311,-0.22243250446568272,-0.7295764288901869,4.31,4038.0,2.46,48.2,Business,Low,0,Monday,August,1,True,False,False,False,False,False,True,False,False,False,False,False,0.0,Low,4.083957469335614,1.7011051009599243,6.330086887239385,-1.2570240872564888,-1.856499144946689,0,-1.0696653925451163,-0.5881544547120707,0
T00008,R0039,Zone_3,0.8539268904388131,1.0463538901171472,-0.3630628568735308,2024-03-10,0.0,Aadhya Iyer,24.0,Male,Chennai,2025-12-07 00:03:47.581311,-0.22243250446568272,1.3809839546849962,4.2,12971.0,2.11,38.0,Business,Low,0,Sunday,March,1,False,False,True,False,False,True,False,False,False,False,False,False,0.0,Low,4.638121286127777,2.545531271604435,9.803570778037969,-1.9178764602817142,-1.7995492572519067,0,-1.2837845986914795,0.9448813669637038,0
T00009,R0223,Zone_5,0.37775047190990396,0.1809362749492766,0.6013169614514101,2024-05-20,0.0,Meera Ghosh,30.0,Male,Surat,2025-09-25 00:03:47.581311,0.16831122664114473,0.6774638268266019,4.04,2590.0,1.31,43.9,Business,Low,0,Monday,May,1,True,False,False,False,False,False,False,True,False,False,False,False,0.0,Low,5.174736304776682,2.3711778844596574,8.161494961096281,-0.6138505675223849,-0.2175666130338627,0,-1.023272897880071,0.2422399486956406,0
T00010,R0236,Zone_5,-0.1684518905203158,-0.2743613992000572,-0.41574900226158257,2023-03-01,1.0,Arjun Gupta,28.0,Female,Ahmedabad,2025-12-08 00:03:47.581311,1.3405424199616272,0.6774638268266019,3.36,2590.0,1.31,43.9,Business,Low,0,Wednesday,March,0,False,True,False,False,False,False,False,True,False,False,False,False,0.0,Low,4.598548309679204,2.124653884501384,7.147726911403373,-2.0892312330904557,-1.9871584832459817,0,-1.2873532521272524,-0.12359814511335115,0
T00011,R0191,Zone_10,1.3511110921381158,0.8172382435252464,0.5525724229502448,2023-09-09,0.0,Meera Gupta,33.0,Male,Surat,2025-07-31 00:03:47.581311,1.3405424199616272,-0.026056301031792503,4.56,2440.0,1.54,35.4,Industrial,Low,0,Saturday,September,1,True,False,False,True,False,False,False,False,False,False,False,False,0.0,Low,5.153522781644804,2.700018029404946,9.396807968666806,-0.3127743387463294,-0.4040108476384331,0,-0.8234283054767984,-0.4487875618324548,0
T00012,R0199,Zone_1,0.7722299558872846,0.13077138945988495,0.12306865917582634,2023-12-15,0.0,Aarav Das,29.0,Male,Ahmedabad,2024-06-07 00:03:47.581311,0.9497986888547996,-0.7295764288901869,3.91,4921.0,2.43,30.9,Residential,Low,0,Friday,December,1,False,False,True,False,False,False,False,False,False,False,False,False,0.0,Low,4.9441393028078915,2.517696472610991,8.056053624449133,0.24946676819400834,0.9689188944381358,0,0.6718374841119725,-0.7414580368796482,0
T00013,R0248,Zone_6,-1.1931648696094883,-1.2210402616226737,-1.2091944685918712,2023-12-12,1.0,Vivaan Ghosh,18.0,Male,Chennai,2024-10-14 00:03:47.581311,-0.22243250446568272,0.6774638268266019,3.65,14627.0,0.54,37.6,Mixed,Low,0,Tuesday,December,1,False,False,True,False,False,False,False,False,True,False,False,False,0.0,Low,3.6622787723167574,1.3812818192963463,4.338202392696772,0.09077801365228189,0.1379746997273161,0,0.21148119089729125,0.43386942640511234,0
T00014,R0300,Zone_2,0.7255459932864109,0.30766861723826666,1.5695069997670081,2024-08-10,0.0,Saanvi Iyer,38.0,Male,Kolkata,2025-10-02 00:03:47.581311,-0.6131762355725101,-0.026056301031792503,3.67,6371.0,0.91,58.4,Residential,Low,0,Saturday,August,1,False,False,False,False,True,False,False,False,False,False,False,False,0.0,Low,5.52321937087711,2.501435951739211,8.421995013059554,0.6217048458237153,1.1947980786338606,0,-1.04825347193048,0.09319479936605132,1
T00015,R0270,Zone_10,1.582196707012439,0.9207949954419442,1.7809085158003632,2023-08-24,0.0,Aadhya Reddy,35.0,Female,Hyderabad,2024-05-11 00:03:47.581311,0.16831122664114473,1.3809839546849962,3.08,2440.0,1.54,35.4,Industrial,Low,0,Thursday,August,0,True,False,False,True,False,False,False,False,False,False,False,False,0.0,Low,5.585486807626805,2.7644305345383176,9.582797086446107,-0.4193831813200574,0.17513261256299836,0,0.768191126877836,0.6893753966844082,0
